timestamp,node_id,protocol,destination,next_hop,metric
9,29,OLSR,0.0.0.0,0.0.0.0,0
9,30,OLSR,0.0.0.0,0.0.0.0,0
9,31,OLSR,0.0.0.0,0.0.0.0,0
9,32,OLSR,0.0.0.0,0.0.0.0,0
9,33,OLSR,0.0.0.0,0.0.0.0,0
9,34,OLSR,0.0.0.0,0.0.0.0,0
10,0,OLSR,0.0.0.0,0.0.0.0,0
10,1,OLSR,0.0.0.0,0.0.0.0,0
10,2,OLSR,0.0.0.0,0.0.0.0,0
10,3,OLSR,0.0.0.0,0.0.0.0,0
10,4,OLSR,0.0.0.0,0.0.0.0,0
10,5,OLSR,0.0.0.0,0.0.0.0,0
10,6,OLSR,0.0.0.0,0.0.0.0,0
10,7,OLSR,0.0.0.0,0.0.0.0,0
10,8,OLSR,0.0.0.0,0.0.0.0,0
10,9,OLSR,0.0.0.0,0.0.0.0,0
10,10,OLSR,0.0.0.0,0.0.0.0,0
10,11,OLSR,0.0.0.0,0.0.0.0,0
10,12,OLSR,0.0.0.0,0.0.0.0,0
10,13,OLSR,0.0.0.0,0.0.0.0,0
10,14,OLSR,0.0.0.0,0.0.0.0,0
10,15,OLSR,0.0.0.0,0.0.0.0,0
10,16,OLSR,0.0.0.0,0.0.0.0,0
10,17,OLSR,0.0.0.0,0.0.0.0,0
10,18,OLSR,0.0.0.0,0.0.0.0,0
10,19,OLSR,0.0.0.0,0.0.0.0,0
10,20,OLSR,0.0.0.0,0.0.0.0,0
10,21,OLSR,0.0.0.0,0.0.0.0,0
10,22,OLSR,0.0.0.0,0.0.0.0,0
10,23,OLSR,0.0.0.0,0.0.0.0,0
10,24,OLSR,0.0.0.0,0.0.0.0,0
10,25,OLSR,0.0.0.0,0.0.0.0,0
10,26,OLSR,0.0.0.0,0.0.0.0,0
10,27,OLSR,0.0.0.0,0.0.0.0,0
10,28,OLSR,0.0.0.0,0.0.0.0,0
10,29,OLSR,0.0.0.0,0.0.0.0,0
10,30,OLSR,0.0.0.0,0.0.0.0,0
10,31,OLSR,0.0.0.0,0.0.0.0,0
10,32,OLSR,0.0.0.0,0.0.0.0,0
10,33,OLSR,0.0.0.0,0.0.0.0,0
10,34,OLSR,0.0.0.0,0.0.0.0,0
11,0,OLSR,0.0.0.0,0.0.0.0,0
11,1,OLSR,0.0.0.0,0.0.0.0,0
11,2,OLSR,0.0.0.0,0.0.0.0,0
